 ,Mean1,Mean2,Mean3,Mean4
1,73.806,54.741,31.610,30.392
2,81.029,57.029,23.068,25.428
3,73.788,60.523,31.298,25.084
4,84.444,50.160,31.102,19.738
5,86.065,46.446,31.649,26.828
6,88.559,49.053,25.707,39.027
7,97.078,49.634,30.015,28.274
8,88.363,48.167,26.073,31.125
9,83.260,41.395,34.834,30.953
10,91.608,47.576,31.439,30.143
11,90.180,45.486,23.961,23.609
12,90.097,43.073,33.644,30.011
13,92.253,47.247,22.380,23.380
14,85.602,43.145,26.093,27.405
15,88.620,44.227,33.273,27.448
16,84.105,47.564,26.093,27.204
17,80.299,43.278,29.000,24.065
18,86.568,50.935,35.839,22.143
19,80.906,43.463,25.356,19.849
20,86.286,37.239,22.522,23.844
21,81.225,41.208,23.990,17.312
22,80.153,48.511,21.483,21.405
23,78.064,36.910,30.654,31.271
24,73.673,32.712,21.444,23.077
25,73.511,40.085,20.834,24.185
26,76.467,39.765,23.141,23.625
27,78.178,38.538,23.585,26.342
28,74.485,32.826,22.322,26.290
29,73.448,35.009,17.415,26.668
30,73.935,35.101,22.790,22.821
31,69.347,44.385,20.976,24.830
32,68.492,39.654,23.078,25.154
33,66.912,49.484,23.259,24.082
34,67.729,44.172,23.493,22.161
35,65.222,39.836,18.561,25.237
36,65.127,37.264,26.010,23.251
37,64.603,41.429,21.727,35.437
38,62.360,46.460,16.551,22.824
39,64.726,36.600,12.498,26.962
40,63.486,42.826,15.561,26.722
41,66.173,35.411,19.078,23.625
42,67.495,36.765,26.400,21.898
43,66.910,41.572,17.117,30.613
44,72.820,51.135,28.044,22.815
45,72.080,44.354,24.420,24.419
46,70.894,41.758,33.849,28.683
47,71.663,43.898,25.737,26.238
48,72.228,45.630,25.093,24.928
49,70.829,44.150,25.361,28.815
50,69.974,46.474,21.795,26.367
51,69.497,52.245,28.463,27.616
52,77.484,40.741,22.400,22.864
53,68.176,45.308,28.405,25.932
54,74.070,44.571,27.693,26.941
55,70.731,53.097,31.922,23.172
56,71.884,52.371,26.380,23.247
57,67.692,52.656,27.341,25.887
58,76.657,38.661,21.034,21.127
59,71.146,42.639,30.771,30.090
60,76.859,46.560,27.098,31.547
61,79.112,46.319,24.888,26.581
62,74.373,45.499,22.054,35.704
63,77.400,50.341,17.541,28.437
64,71.690,49.017,31.224,22.695
65,68.453,50.126,25.571,31.262
66,76.962,45.017,23.390,29.242
67,71.488,44.119,27.151,26.884
68,74.832,36.031,16.717,24.640
69,68.841,44.191,23.088,24.195
70,69.751,40.164,21.468,26.466
71,68.478,43.876,30.815,24.428
72,66.530,38.303,21.015,18.694
73,68.791,43.119,21.141,21.896
74,63.759,45.525,22.371,25.502
75,65.006,31.063,18.224,24.120
76,68.774,43.073,24.054,19.550
77,60.309,35.431,26.556,25.131
78,61.744,36.656,21.741,21.955
79,68.678,38.303,23.488,20.930
80,63.098,41.066,18.776,26.495
81,58.876,39.307,17.171,19.319
82,59.817,40.220,15.937,18.378
83,57.199,35.707,18.956,22.837
84,54.364,38.346,22.185,21.077
85,62.645,25.613,18.971,16.534
86,57.519,36.497,19.483,24.991
87,60.690,27.545,19.263,25.211
88,56.963,36.910,14.322,21.828
89,55.367,28.620,21.288,27.419
90,61.482,41.753,11.785,26.113
91,59.139,28.751,20.790,20.758
92,60.646,35.177,10.732,16.468
93,61.778,41.470,17.980,21.007
94,68.839,30.537,15.556,23.296
95,61.341,36.666,26.990,23.513
96,64.155,36.639,19.615,28.262
97,71.199,37.141,19.532,25.909
98,69.172,34.092,16.498,26.335
99,77.377,35.361,24.439,23.000
100,66.727,38.750,16.922,32.866
101,69.238,47.048,21.883,28.934
102,71.243,36.857,21.585,26.763
103,84.212,50.433,19.351,31.253
104,72.897,41.441,29.610,21.504
105,62.762,49.528,21.093,27.195
106,69.076,44.911,29.566,28.461
107,71.690,40.865,18.780,22.127
108,71.712,36.486,26.185,25.108
109,69.985,39.918,24.688,23.873
110,71.831,35.951,19.180,22.919
111,58.561,42.888,16.527,28.183
112,65.183,39.966,20.478,23.955
113,69.006,41.429,29.746,21.131
114,61.575,38.216,27.273,28.068
115,68.063,34.540,19.254,18.523
116,64.046,37.276,23.673,23.299
117,61.424,37.986,33.956,22.041
118,67.197,39.380,17.034,23.778
119,64.460,34.751,28.844,23.699
120,61.760,41.370,23.044,22.457
121,65.421,42.431,27.659,27.310
122,72.804,32.288,22.678,21.082
123,62.977,46.051,18.585,28.688
124,65.568,33.198,17.020,21.507
125,64.290,36.157,23.585,18.315
126,59.788,38.818,25.766,25.204
127,65.066,41.293,14.615,23.683
128,61.877,37.441,21.976,23.403
129,64.157,42.811,18.785,15.677
130,57.863,41.194,17.868,30.441
131,57.469,34.535,19.732,16.892
132,60.924,43.739,21.400,20.857
133,55.441,40.775,20.810,18.475
134,60.712,38.630,18.102,21.658
135,55.758,35.467,12.210,19.401
136,57.485,38.070,19.156,20.511
137,57.620,41.073,22.478,19.043
138,49.861,34.940,25.278,21.841
139,57.431,43.005,15.771,20.980
140,54.589,37.578,18.951,17.176
141,54.799,37.692,17.054,15.029
142,48.687,39.591,17.522,20.176
143,53.002,41.722,14.537,24.744
144,51.640,38.060,19.951,20.342
145,46.133,43.503,19.985,20.179
146,49.837,43.566,18.727,20.190
147,54.870,46.707,22.673,21.394
148,50.665,38.223,18.980,20.724
149,55.851,40.385,10.951,20.833
150,51.951,37.940,12.385,26.400
151,51.945,34.779,9.512,22.165
152,53.966,40.104,13.371,21.763
153,54.516,35.153,19.507,22.484
154,51.772,41.288,18.190,17.093
155,50.267,29.520,20.610,24.421
156,49.742,35.533,17.293,24.672
157,58.017,37.336,12.576,23.480
158,55.582,36.532,13.024,24.013
159,46.757,36.508,15.112,25.801
160,51.680,37.579,17.800,29.000
161,51.344,35.879,18.776,17.122
162,47.538,32.831,16.234,24.127
163,47.410,46.242,13.298,21.597
164,48.310,34.845,13.610,21.724
165,44.593,39.617,12.483,22.903
166,48.215,34.629,14.151,19.582
167,48.520,27.818,12.580,20.281
168,49.886,32.872,9.239,16.978
169,48.154,32.997,11.634,17.640
170,54.418,35.792,18.049,21.369
171,53.339,31.850,16.171,19.444
172,47.979,34.405,22.307,17.441
173,51.031,38.344,11.376,19.391
174,49.446,34.254,16.215,19.038
175,46.619,34.801,21.410,20.710
176,46.465,36.182,11.112,21.353
177,44.598,34.179,9.317,21.927
178,52.535,29.993,8.771,22.066
179,50.689,34.615,20.088,22.134
180,48.085,39.673,16.171,20.733
181,42.111,33.434,9.751,19.156
182,45.589,33.852,21.737,21.138
183,47.644,34.860,14.117,22.665
184,47.022,31.853,16.644,21.864
185,45.154,32.678,11.190,24.030
186,45.041,30.056,17.088,23.097
187,44.821,34.823,18.166,23.133
188,46.201,28.112,16.405,24.749
189,46.056,38.584,20.298,25.493
190,38.923,31.760,22.395,23.274
191,36.800,35.024,18.263,23.093
192,41.468,34.506,17.263,23.190
193,44.748,33.065,23.234,22.405
194,40.393,34.440,11.410,21.192
195,40.089,26.879,19.141,28.538
196,39.394,30.770,14.444,19.726
197,40.872,29.634,22.844,16.099
198,38.232,27.980,14.644,23.412
199,37.578,26.320,11.293,18.158
200,35.852,32.869,14.049,16.896
201,37.656,22.981,19.902,17.066
202,39.032,25.525,19.683,21.382
203,37.958,33.414,11.151,18.640
204,39.243,30.632,15.151,18.837
205,38.087,28.327,12.259,17.319
206,39.075,34.930,15.463,19.543
207,40.073,32.963,15.127,25.104
208,42.119,28.903,15.034,19.785
209,40.856,34.424,19.502,18.986
210,41.390,31.330,15.210,17.142
211,40.363,28.267,21.400,16.188
212,40.951,34.789,19.127,22.900
213,40.607,30.467,19.059,23.486
214,38.523,30.003,16.785,19.267
215,44.791,34.634,14.444,16.484
216,44.947,29.114,16.693,20.638
217,47.129,32.431,19.829,19.686
218,47.170,26.862,15.288,15.260
219,49.350,37.949,19.166,27.496
220,56.784,32.560,23.307,16.797
221,53.855,34.332,16.473,17.697
222,60.686,36.584,26.683,23.439
223,58.802,33.796,22.785,22.493
224,58.595,45.310,23.644,25.729
225,69.695,35.426,21.488,18.780
226,68.780,44.685,29.376,26.425
227,69.862,41.290,28.415,26.346
228,64.411,48.324,25.449,24.609
229,64.414,41.888,29.083,25.832
230,70.599,32.382,18.917,19.937
231,66.497,37.794,18.868,27.254
232,62.981,42.199,23.063,26.373
233,56.192,36.463,28.756,25.228
234,63.374,38.288,24.234,22.498
235,57.004,39.726,23.054,29.323
236,60.231,39.532,30.829,26.011
237,61.626,36.376,17.610,20.502
238,61.061,40.707,26.205,27.647
239,62.516,34.496,29.132,16.380
240,63.406,34.864,26.580,19.364
241,55.868,33.135,15.390,23.414
242,56.247,37.361,26.785,27.486
243,56.562,34.204,26.844,23.722
244,57.152,36.804,21.346,20.493
245,51.122,37.053,18.224,25.817
246,51.098,33.826,18.380,23.738
247,57.685,35.705,18.932,23.364
248,52.592,28.181,22.620,23.061
249,45.767,31.944,26.649,18.170
250,46.099,32.290,22.424,22.263
251,48.105,26.731,28.083,20.477
252,50.928,30.210,21.868,18.875
253,43.527,34.881,17.571,25.262
254,48.541,29.128,18.356,23.341
255,47.667,35.940,14.166,20.453
256,46.721,31.145,23.376,22.593
257,44.691,27.974,24.732,24.057
258,48.241,30.257,18.098,19.527
259,43.923,31.557,18.732,19.561
260,42.995,34.119,15.849,20.539
261,41.388,36.734,15.098,23.457
262,42.492,33.433,24.585,20.063
263,42.124,35.223,22.795,21.367
264,47.553,31.559,15.366,21.418
265,48.642,32.482,12.507,19.174
266,40.940,40.153,25.961,18.366
267,43.103,37.308,18.893,25.749
268,41.847,32.467,21.229,21.661
269,46.500,32.889,20.429,24.907
270,51.381,28.003,15.693,20.803
271,56.016,33.220,9.054,24.244
272,54.913,31.077,23.034,29.608
273,59.414,29.850,20.215,25.292
274,66.149,36.898,22.376,22.036
275,57.761,33.101,21.141,26.916
276,62.917,38.443,18.737,20.643
277,64.761,34.748,20.527,30.206
278,68.601,31.949,23.371,25.016
279,64.315,34.802,22.346,25.620
280,66.583,36.177,24.127,30.168
281,68.897,39.402,24.615,27.586
282,71.220,41.654,25.912,26.199
283,67.739,35.511,22.044,25.339
284,65.369,41.313,16.961,23.806
285,63.919,39.542,17.049,27.219
286,60.528,43.457,18.059,29.043
287,65.312,37.416,25.834,26.715
288,65.181,38.825,23.907,23.084
289,65.335,41.118,25.044,21.952
290,64.465,41.867,20.098,29.891
291,59.167,38.874,22.834,23.034
292,60.794,40.254,22.517,26.608
293,64.674,39.901,23.673,28.419
294,62.624,43.107,15.000,25.950
295,54.800,40.240,20.185,22.928
296,58.982,42.840,19.732,21.120
297,57.301,39.818,16.102,22.733
298,57.233,34.221,15.263,27.953
299,61.896,32.399,18.751,28.659
300,54.616,32.383,26.800,20.717
301,51.839,38.964,12.093,21.491
