mouseEntryTime,mouseName,mouseRFID,tunnelID,taskType,phaseID,pGo,Stim. freq (Hz),Stim. amp,ITI,stimulusType,stimulusSide,stimulusTime,stimDuration(sec),timeout(sec),trialType,responseWindow(sec),mouseResponse,responseTimes,isLickBeforeStimulus,autoReward,punishment,preLicks,rand_delay_after_cue,ITI_blocks,cueStartTime,is_water,start_delay_min,start_delay_max,out_resp_prelick
2023-06-04 10:10:18.639756,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685862620.355632, 1685862620.9074457, 1685862621.0081484, 1685862621.10886, 1685862621.2096422, 1685862621.31042, 1685862621.5117714, 1685862621.6126077, 1685862621.7133136, 1685862621.8141086, 1685862621.914894, 1685862622.015695, 1685862622.1165445, 1685862622.217349, 1685862622.4184597, 1685862622.519481, 1685862622.921331, 1685862623.0220265]",True,,,"[1685862619.445782, 1685862619.4974108, 1685862619.560962, 1685862619.6125746, 1685862619.8517964, 1685862619.9022882, 1685862619.952762, 1685862620.0032628, 1685862620.0538347, 1685862620.1045005]",0.75,15,1685862619.3610747,1,0.75,0.75,0.0
2023-06-04 10:10:53.027394,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685862655.2010837, 1685862655.6525958, 1685862655.753281, 1685862655.854, 1685862655.954702, 1685862656.055442, 1685862656.1561596, 1685862656.2568784, 1685862656.3575938, 1685862656.458324, 1685862656.5590227, 1685862656.7600389, 1685862656.8607144, 1685862656.9614308, 1685862657.362728]",True,,,"[1685862654.1312885, 1685862654.1820505, 1685862654.2323952, 1685862654.2829647, 1685862654.396303, 1685862654.4468503, 1685862654.4971845, 1685862654.5478055, 1685862654.598222, 1685862654.6492217]",0.75,15,1685862654.05016,1,0.75,0.75,0.0
2023-06-04 10:11:12.782914,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685862674.9127097, 1685862675.6653085, 1685862675.7660642, 1685862675.8669217, 1685862675.9677842, 1685862676.0685358, 1685862676.1692986, 1685862676.2700455, 1685862676.3708608, 1685862676.4715474, 1685862676.5726717, 1685862676.6734357, 1685862676.8743584, 1685862676.9751134, 1685862677.3767354, 1685862677.4775548]",True,,,"[1685862674.0272343, 1685862674.0778306, 1685862674.1282706, 1685862674.2275898, 1685862674.6017513]",0.75,15,1685862673.9622254,1,0.75,0.75,0.0
2023-06-04 10:11:29.146568,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685862691.1693442, 1685862691.521743, 1685862691.8229952, 1685862691.923758, 1685862692.0244796, 1685862692.1252217, 1685862692.2259693, 1685862692.3266652, 1685862692.4274087, 1685862692.5281622, 1685862692.6289134, 1685862692.7296855, 1685862692.8304272, 1685862692.9311879, 1685862693.031814, 1685862693.3330173, 1685862693.4337356, 1685862693.5344896, 1685862693.735616, 1685862694.0370696]",True,,,"[1685862690.3191628, 1685862690.369714, 1685862690.4602294, 1685862690.5921419, 1685862690.64262, 1685862690.6930213, 1685862690.7434294, 1685862690.793897, 1685862690.8444598]",0.75,15,1685862690.3189838,1,0.75,0.75,0.0
2023-06-04 10:12:03.625812,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,NoLick,[],True,,,"[1685862724.8173258, 1685862724.8678758, 1685862725.2328806, 1685862725.3348563, 1685862725.3853924, 1685862725.435816, 1685862725.4864182, 1685862725.5373917, 1685862725.5882382]",0.75,15,1685862724.7973807,0,0.75,0.75,0.0
2023-06-04 10:12:29.965234,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685862751.9899948, 1685862752.4412243, 1685862752.5417461, 1685862752.6422863, 1685862752.7428446, 1685862752.8434978, 1685862753.0443773, 1685862753.1451116, 1685862753.245824, 1685862753.3465369, 1685862753.547486, 1685862753.648232, 1685862754.249953, 1685862754.350721, 1685862754.551598, 1685862754.6522458]",True,,,"[1685862751.1398623, 1685862751.1903317, 1685862751.4332829, 1685862751.4838862, 1685862751.6140451, 1685862751.6646254]",0.75,15,1685862751.1396892,1,0.75,0.75,0.0
2023-06-04 10:12:40.196946,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685862762.5661736, 1685862763.0177271, 1685862763.1183968, 1685862763.219066, 1685862763.4200387, 1685862763.520714, 1685862763.7215633, 1685862763.8222284, 1685862764.1232936, 1685862764.2240202, 1685862764.7258046]",True,,,"[1685862761.3782003, 1685862761.4287536, 1685862761.5658143, 1685862761.697626, 1685862761.7481377, 1685862761.7985418, 1685862761.849005, 1685862761.8993473, 1685862761.949854, 1685862762.1142852]",0.75,15,1685862761.3780382,1,0.75,0.75,0.0
2023-06-04 10:13:02.327289,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685862784.8601413, 1685862785.812858, 1685862785.9138975, 1685862786.0146556, 1685862786.1156428, 1685862786.2165923, 1685862786.5179465, 1685862786.6189694, 1685862786.719755, 1685862787.0209048]",True,,,"[1685862783.7038796, 1685862783.8875072]",0.75,15,1685862783.5091052,1,0.75,0.75,0.0
2023-06-04 10:13:11.586290,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,NoLick,[],True,,,"[1685862792.768105, 1685862792.81865, 1685862792.869146, 1685862793.0498793, 1685862793.1003714, 1685862793.1508079, 1685862793.2012472, 1685862793.4927998, 1685862793.5434582]",0.75,15,1685862792.767936,0,0.75,0.75,0.0
2023-06-04 10:13:38.429043,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685862820.562393, 1685862820.9137146, 1685862821.2148013, 1685862821.3155015, 1685862821.416155, 1685862821.5167959, 1685862821.6174862, 1685862821.7181332, 1685862821.818804, 1685862821.919602, 1685862822.0202043, 1685862822.120834, 1685862822.221434, 1685862822.3220298, 1685862822.4226048, 1685862822.5232356, 1685862822.7241364, 1685862822.8248425, 1685862822.92541, 1685862823.126299, 1685862823.2270033]",True,,,"[1685862819.6408951, 1685862819.6913714, 1685862819.8241506, 1685862819.8747373, 1685862820.0233986, 1685862820.0739594, 1685862820.2421072, 1685862820.2926176]",0.75,15,1685862819.6117818,1,0.75,0.75,0.0
